Name,Cost,Cost_A,Activate,Cost_O,Overcharge,
Basic Lazor, ,2E,1 Dmg, , ,
Basic Lazor, ,2E,1 Dmg, , ,
Basic Lazor, ,2E,1 Dmg, , ,
Basic Lazor, ,2E,1 Dmg, , ,
Basic Lazor, ,2E,1 Dmg, , ,
Diffracting Lazor,5E,3E,2 Dmg + 1 Dmg to an adjacent player,5E,3 Dmg + 2 Dmg to an adjacent player,
Diffracting Lazor,5E,3E,2 Dmg + 1 Dmg to an adjacent player,5E,3 Dmg + 2 Dmg to an adjacent player,
Disabling Lazor,7E,3E,2 Dmg + Drain 2E or Disable target's activated item for 1 round,6E,3 Dmg + Drain 3E or Disable target's activated item for 1 round,
Disabling Lazor,7E,3E,2 Dmg + Drain 2E or Disable target's activated item for 1 round,6E,3 Dmg + Drain 3E or Disable target's activated item for 1 round,
Focused Lazor,4E,1E,1 Dmg,3E,2 Dmg,
Focused Lazor,4E,1E,1 Dmg,3E,2 Dmg,
Plasma Lazor,4E,2E,2 Dmg,4E,3 Dmg,
Plasma Lazor,4E,2E,2 Dmg,4E,3 Dmg,
Vampiric Lazor,5E,3E,2 Dmg + Steal 1E,5E,3 Dmg + Steal 2E,
Vampiric Lazor,5E,3E,2 Dmg + Steal 1E,5E,3 Dmg + Steal 2E,
